name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2352387703,14263988.864253981,70
DashMap,33554432,4,905005059,37076513.182231836,107
DashMap,33554432,8,486993036,68901256.32104522,116
DashMap,33554432,12,372640616,90045020.7499657,133
DashMap,33554432,16,290838098,115371515.04821078,138
DashMap,33554432,20,250697693,133844199.35607465,149
DashMap,33554432,24,241028342,139213636.54403764,172
DashMap,33554432,28,234249219,143242449.82861608,195
DashMap,33554432,32,227138033,147727051.9464259,216
Papaya,33554432,1,3254215664,10311065.849506646,96
Papaya,33554432,4,902486624,37179977.08517838,107
Papaya,33554432,8,428054768,78388174.85149471,102
Papaya,33554432,12,321692415,104305947.03328644,115
Papaya,33554432,16,214925830,156120983.69004786,102
Papaya,33554432,20,176458907,190154368.348207,105
Papaya,33554432,24,160129914,209545057.27143523,114
Papaya,33554432,28,129650887,258806035.01000345,108
Papaya,33554432,32,163823168,204821042.16175336,156
SccMap,33554432,1,4320920063,7765575.736363721,128
SccMap,33554432,4,1277499117,26265718.350394756,152
SccMap,33554432,8,659858182,50850975.126652285,157
SccMap,33554432,12,475250562,70603666.11412866,169
SccMap,33554432,16,345310549,97171754.80787295,164
SccMap,33554432,20,284249171,118045839.43711835,169
SccMap,33554432,24,240578694,139473830.5462744,172
SccMap,33554432,28,231145845,145165629.08582675,192
SccMap,33554432,32,180528224,185868066.8126442,172
