name,total_ops,threads,spent,throughput,latency
DashMap,67108864,1,7459764693,8996110.03319887,111
DashMap,67108864,4,2645150763,25370525.165789954,157
DashMap,67108864,8,1508758152,44479536.96955402,179
DashMap,67108864,12,1070912448,62665126.477267355,191
DashMap,67108864,16,914725253,73365050.08460721,218
DashMap,67108864,20,781939094,85823646.00381523,233
DashMap,67108864,24,701434117,95673795.11994852,250
DashMap,67108864,28,712350845,94207600.75044201,297
DashMap,67108864,32,745377894,90033343.54318804,355
Papaya,67108864,1,13722934215,4890270.764881022,204
Papaya,67108864,4,4228141872,15871951.800958868,252
Papaya,67108864,8,2011141611,33368542.34080088,239
Papaya,67108864,12,1364555220,49180028.053390175,244
Papaya,67108864,16,1075288460,62410103.424712665,256
Papaya,67108864,20,851880451,78777325.99829316,253
Papaya,67108864,24,733351073,91509873.60728931,262
Papaya,67108864,28,705010784,95188421.96887587,294
Papaya,67108864,32,752676095,89160349.91120583,358
SccMap,67108864,1,11718152671,5726914.974071001,174
SccMap,67108864,4,3174294386,21141348.545358263,189
SccMap,67108864,8,1618042779,41475333.57645546,192
SccMap,67108864,12,1136350281,59056494.394442804,203
SccMap,67108864,16,858452182,78174259.91468911,204
SccMap,67108864,20,713373184,94072591.3240944,212
SccMap,67108864,24,582289234,115250051.14554462,208
SccMap,67108864,28,522666487,128397105.36099477,218
SccMap,67108864,32,521634071,128651228.38189761,248
Flurry,67108864,1,18703635854,3588011.6852065395,278
Flurry,67108864,4,9021959918,7438390.838570338,537
Flurry,67108864,8,6698228145,10018897.915577047,798
Flurry,67108864,12,5269540718,12735239.67103351,942
Flurry,67108864,16,4688569168,14313292.946177563,1117
Flurry,67108864,20,4554750260,14733818.57823309,1357
Flurry,67108864,24,4268266876,15722743.199902948,1526
Flurry,67108864,28,4152859931,16159674.32444569,1732
Flurry,67108864,32,4261528094,15747605.67564617,2032
PapayaQ1,67108864,1,14152606434,4741802.459706553,210
PapayaQ1,67108864,4,4257271066,15763352.382222963,253
PapayaQ1,67108864,8,2042144479,32861956.972242218,243
PapayaQ1,67108864,12,1348165502,49777912.20769569,241
PapayaQ1,67108864,16,1032645004,64987351.64558062,246
PapayaQ1,67108864,20,855623972,78432659.90214683,254
PapayaQ1,67108864,24,719273587,93300887.46884571,257
PapayaQ1,67108864,28,637903917,105202150.68690352,266
PapayaQ1,67108864,32,654696585,102503763.63273683,312
PapayaQ32,67108864,1,14651926811,4580207.427027121,218
PapayaQ32,67108864,4,4191256390,16011634.16299617,249
PapayaQ32,67108864,8,2034846340,32979819.006874003,242
PapayaQ32,67108864,12,1389509694,48296794.39429661,248
PapayaQ32,67108864,16,1074054214,62481821.797498204,256
PapayaQ32,67108864,20,869543558,77177115.95075724,259
PapayaQ32,67108864,24,739254666,90779087.48701763,264
PapayaQ32,67108864,28,650593080,103150288.65662082,271
PapayaQ32,67108864,32,733265688,91520529.45916651,349
PapayaQ4,67108864,1,14290703675,4695980.374808241,212
PapayaQ4,67108864,4,4139697120,16211056.522898467,246
PapayaQ4,67108864,8,2031302820,33037350.876123924,242
PapayaQ4,67108864,12,1407096907,47693135.89287848,251
PapayaQ4,67108864,16,1066729712,62910841.654704005,254
PapayaQ4,67108864,20,855053403,78484997.2698138,254
PapayaQ4,67108864,24,722750289,92852074.9439645,258
PapayaQ4,67108864,28,681829718,98424668.54752141,284
PapayaQ4,67108864,32,742408947,90393393.38673137,354
