name,total_ops,threads,spent,throughput,latency
DashMap,67108864,1,5309078266,12640398.32107459,79
DashMap,67108864,4,1867031934,35944143.63134295,111
DashMap,67108864,8,1050752336,63867442.11815866,125
DashMap,67108864,12,786627060,85312173.21712781,140
DashMap,67108864,16,595747279,112646530.442651,142
DashMap,67108864,20,525841506,127621846.57214944,156
DashMap,67108864,24,467209394,143637659.81982803,167
DashMap,67108864,28,428407408,156647300.55274862,178
DashMap,67108864,32,473217822,141813898.12491044,225
Papaya,67108864,1,7721435369,8691242.080381649,115
Papaya,67108864,4,1849699889,36280947.195320934,110
Papaya,67108864,8,914574516,73377141.85773355,109
Papaya,67108864,12,639146881,104997561.58553484,114
Papaya,67108864,16,462889264,144978225.28888896,110
Papaya,67108864,20,380571892,176336890.3765494,113
Papaya,67108864,24,322539224,208064195.0077985,115
Papaya,67108864,28,284698155,235719349.84966797,118
Papaya,67108864,32,363573715,184581176.3372388,173
SccMap,67108864,1,9492891880,7069380.421511764,141
SccMap,67108864,4,2633785265,25480005.86524657,156
SccMap,67108864,8,1343647091,49945305.16942116,160
SccMap,67108864,12,989568881,67816263.51485886,176
SccMap,67108864,16,700651822,95780617.26641738,167
SccMap,67108864,20,584679662,114778858.17071572,174
SccMap,67108864,24,505067911,132870971.48407038,180
SccMap,67108864,28,409501378,163879458.30062628,170
SccMap,67108864,32,376184619,178393428.67976215,179
Flurry,67108864,1,11968049723,5607334.992186012,178
Flurry,67108864,4,3114896960,21544489.22766293,185
Flurry,67108864,8,1616072367,41525902.781555325,192
Flurry,67108864,12,1143694356,58677271.2901278,204
Flurry,67108864,16,919310373,72999137.14777589,219
Flurry,67108864,20,784928169,85496822.06652977,233
Flurry,67108864,24,708758486,94685094.18312629,253
Flurry,67108864,28,645995773,103884370.1536109,269
Flurry,67108864,32,609228407,110153865.49432518,290
PapayaM,67108864,1,7401446742,9066992.75686013,110
PapayaM,67108864,4,1829363992,36684259.826625034,109
PapayaM,67108864,8,905312761,74127822.88175434,107
PapayaM,67108864,12,628174271,106831602.46784447,112
PapayaM,67108864,16,456941572,146865306.44666317,108
PapayaM,67108864,20,371703925,180543867.0038257,110
PapayaM,67108864,24,318351484,210801165.92137513,113
PapayaM,67108864,28,297869333,225296318.10066193,124
PapayaM,67108864,32,323354874,207539361.2282461,154
PapayaQ1,67108864,1,7586607230,8845701.63783212,113
PapayaQ1,67108864,4,1810056938,37075554.13928089,107
PapayaQ1,67108864,8,892122112,75223854.55680758,106
PapayaQ1,67108864,12,623754117,107588650.99402621,111
PapayaQ1,67108864,16,446254932,150382346.92272264,106
PapayaQ1,67108864,20,366799515,182957886.40832853,109
PapayaQ1,67108864,24,313725176,213909718.2305828,112
PapayaQ1,67108864,28,271236214,247418525.020409,113
PapayaQ1,67108864,32,247331398,271331761.9302018,117
PapayaQ32,67108864,1,7488613449,8961453.873542031,111
PapayaQ32,67108864,4,1847539913,36323363.58624584,110
PapayaQ32,67108864,8,892709299,75174375.43797782,106
PapayaQ32,67108864,12,631037571,106346859.65473203,112
PapayaQ32,67108864,16,460548699,145715022.4193772,109
PapayaQ32,67108864,20,375105819,178906486.1187877,111
PapayaQ32,67108864,24,370135227,181309043.57287776,132
PapayaQ32,67108864,28,279469797,240129218.68619668,116
PapayaQ32,67108864,32,297845335,225314470.67989165,142
PapayaQ4,67108864,1,7328254036,9157551.535512844,109
PapayaQ4,67108864,4,1832275320,36625971.69076097,109
PapayaQ4,67108864,8,904028059,74233164.92436436,107
PapayaQ4,67108864,12,629296626,106641067.54641967,112
PapayaQ4,67108864,16,454680092,147595782.5749714,108
PapayaQ4,67108864,20,368714946,182007441.59690234,109
PapayaQ4,67108864,24,323227716,207621007.35198092,115
PapayaQ4,67108864,28,269223904,249267851.04490572,112
PapayaQ4,67108864,32,248009770,270589598.1436538,118
