name,total_ops,threads,spent,throughput,latency
DashMap,67108864,1,7394825756,9075110.924087606,110
DashMap,67108864,4,2782490756,24118270.242332477,165
DashMap,67108864,8,1559960710,43019586.050984584,185
DashMap,67108864,12,1178020849,56967467.135210276,210
DashMap,67108864,16,947265891,70844801.48351504,225
DashMap,67108864,20,837920961,80089730.56350121,249
DashMap,67108864,24,758683120,88454405.04857944,271
DashMap,67108864,28,770560065,87091022.55383557,321
DashMap,67108864,32,743539815,90255911.85053083,354
SccMap,67108864,1,11649771180,5760530.654474193,173
SccMap,67108864,4,3157256658,21255435.10374949,188
SccMap,67108864,8,1633119598,41092436.881037295,194
SccMap,67108864,12,1111887073,60355827.160515964,198
SccMap,67108864,16,843249748,79583615.83761778,201
SccMap,67108864,20,701254898,95698246.37431625,208
SccMap,67108864,24,586375407,114446928.02404654,209
SccMap,67108864,28,494830573,135619882.16116145,206
SccMap,67108864,32,504592465,132996167.5111419,240
Flurry,67108864,1,17445620702,3846745.5613262593,259
Flurry,67108864,4,9840228098,6819848.415265871,586
Flurry,67108864,8,6043781688,11103786.910974206,720
Flurry,67108864,12,4712564797,14240411.939316196,842
Flurry,67108864,16,4182195787,16046322.89301285,997
Flurry,67108864,20,3895530594,17227143.358433086,1160
Flurry,67108864,24,3796412921,17676913.81218961,1357
Flurry,67108864,28,3862518847,17374378.393550918,1611
Flurry,67108864,32,3635012672,18461796.43799602,1733
Papaya,67108864,1,14252964897,4708414.318351773,212
Papaya,67108864,4,4801382427,13976987.882202702,286
Papaya,67108864,8,2632294553,25494435.614554115,313
Papaya,67108864,12,1855301916,36171397.99256263,331
Papaya,67108864,16,1360879222,49312872.82156771,324
Papaya,67108864,20,1269647556,52856293.609090365,378
Papaya,67108864,24,997753519,67259962.22720413,356
Papaya,67108864,28,828672250,80983602.38321,345
Papaya,67108864,32,874614241,76729672.18469977,417
