name,total_ops,threads,spent,throughput,latency
DashMap,67108864,1,7459764693,8996110.03319887,111
DashMap,67108864,4,2645150763,25370525.165789954,157
DashMap,67108864,8,1508758152,44479536.96955402,179
DashMap,67108864,12,1070912448,62665126.477267355,191
DashMap,67108864,16,914725253,73365050.08460721,218
DashMap,67108864,20,781939094,85823646.00381523,233
DashMap,67108864,24,701434117,95673795.11994852,250
DashMap,67108864,28,712350845,94207600.75044201,297
DashMap,67108864,32,745377894,90033343.54318804,355
SccMap,67108864,1,11718152671,5726914.974071001,174
SccMap,67108864,4,3174294386,21141348.545358263,189
SccMap,67108864,8,1618042779,41475333.57645546,192
SccMap,67108864,12,1136350281,59056494.394442804,203
SccMap,67108864,16,858452182,78174259.91468911,204
SccMap,67108864,20,713373184,94072591.3240944,212
SccMap,67108864,24,582289234,115250051.14554462,208
SccMap,67108864,28,522666487,128397105.36099477,218
SccMap,67108864,32,521634071,128651228.38189761,248
Flurry,67108864,1,18703635854,3588011.6852065395,278
Flurry,67108864,4,9021959918,7438390.838570338,537
Flurry,67108864,8,6698228145,10018897.915577047,798
Flurry,67108864,12,5269540718,12735239.67103351,942
Flurry,67108864,16,4688569168,14313292.946177563,1117
Flurry,67108864,20,4554750260,14733818.57823309,1357
Flurry,67108864,24,4268266876,15722743.199902948,1526
Flurry,67108864,28,4152859931,16159674.32444569,1732
Flurry,67108864,32,4261528094,15747605.67564617,2032
Papaya,67108864,1,14152606434,4741802.459706553,210
Papaya,67108864,4,4257271066,15763352.382222963,253
Papaya,67108864,8,2042144479,32861956.972242218,243
Papaya,67108864,12,1348165502,49777912.20769569,241
Papaya,67108864,16,1032645004,64987351.64558062,246
Papaya,67108864,20,855623972,78432659.90214683,254
Papaya,67108864,24,719273587,93300887.46884571,257
Papaya,67108864,28,637903917,105202150.68690352,266
Papaya,67108864,32,654696585,102503763.63273683,312
