name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1923539708,17444106.747808296,57
DashMap,33554432,2,1062297125,31586673.078871414,63
DashMap,33554432,4,718410458,46706491.56947545,85
DashMap,33554432,6,554866958,60472932.324076146,99
DashMap,33554432,8,443557833,75648381.12102509,105
DashMap,33554432,10,377697291,88839482.83335716,112
DashMap,33554432,12,355000291,94519449.28124017,126
DashMap,33554432,14,345962542,96988627.16761978,144
DashMap,33554432,16,346702791,96781545.66687639,165
Papaya,33554432,1,4494575375,7465539.945472602,133
Papaya,33554432,2,2129487042,15757049.157005388,126
Papaya,33554432,4,1231874833,27238507.599253796,146
Papaya,33554432,6,873433041,38416719.34185508,156
Papaya,33554432,8,595598708,56337314.95602908,142
Papaya,33554432,10,509108333,65908235.68389716,151
Papaya,33554432,12,467125792,71831683.40231575,167
Papaya,33554432,14,379652459,88381969.36319593,158
Papaya,33554432,16,349798792,95924951.05014542,166
SccMap,33554432,1,3426104209,9793756.97675984,102
SccMap,33554432,2,1731428041,19379628.37925414,103
SccMap,33554432,4,912816875,36759215.25881081,108
SccMap,33554432,6,716155291,46853569.91937661,128
SccMap,33554432,8,461177041,72758244.70195167,109
SccMap,33554432,10,391151833,85783650.15612748,116
SccMap,33554432,12,343372084,97720326.03559001,122
SccMap,33554432,14,307957500,108957995.82734631,128
SccMap,33554432,16,293316000,114396868.90588988,139
